"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","FLAXSEED - ACRES HARVESTED  -  <b>VALUE</b>","FLAXSEED - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2024","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","125,000",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","160,000",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","242,000",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","280,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","296,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","284,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","198,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","272,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","366,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","456,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","302,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","172,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","336,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","173,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","418,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","314,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","340,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","349,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","767,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","955,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","511,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","588,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","703,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","578,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","517,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","381,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","329,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","146,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","92,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","147,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","171,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","191,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","165,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","342,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","253,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","163,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","226,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","463,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","683,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","584,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","538,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","580,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","735,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","577,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","663,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","878,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","687,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,239,000",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","955,000",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,511,000",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,659,000",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,700,000",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,149,000",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,545,000",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,836,000",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,605,000",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,092,000",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,975,000",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,576,000",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,775,000",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,825,000",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,172,000",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,808,000",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,514,000",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,342,000",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,932,000",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,679,000",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","4,793,000",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","5,473,000",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","4,914,000",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","5,663,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","4,570,000",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,303,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,904,000",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","4,090,000",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","5,048,000",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","4,973,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","4,129,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,432,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,785,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,610,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","5,691,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","4,408,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,266,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,182,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,171,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","905,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","927,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,125,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,126,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,002,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,341,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,988,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,431,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,780,000",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,049,000",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,611,000",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,763,000",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,736,000",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,022,000",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,535,000",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,015,000",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,113,000",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,143,000",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,647,000",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,293,000",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,783,000",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,881,000",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,298,000",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,116,000",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,561,000",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,954,000",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,941,000",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,631,000",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,222,000",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,081,000",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,351,000",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,699,000",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,568,000",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,439,000",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,092,000",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,180,000",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,878,000",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","3,173,000",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,762,000",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,102,000",""
"SURVEY","1898","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,889,000",""
"SURVEY","1897","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,365,000",""
"SURVEY","1896","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,848,000",""
"SURVEY","1895","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,039,000",""
"SURVEY","1894","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,457,000",""
"SURVEY","1893","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,287,000",""
"SURVEY","1892","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,423,000",""
"SURVEY","1891","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,040,000",""
"SURVEY","1890","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","2,283,000",""
"SURVEY","1889","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","1,344,000",""
